ts,lane,path,level,step,idx,totalInSession,sinceBlockSec,targetRate,predictedTrip,status,class,ms,bytes,retryAfter,blocked,err
2026-08-01T02:08:49.206Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,18,49,,,,200,ok,304,,,False,
2026-08-01T02:08:50.110Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,19,50,,,,200,ok,315,,,False,
2026-08-01T02:08:51.025Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,20,51,,,,200,ok,307,,,False,
2026-08-01T02:08:51.933Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,21,52,,,,200,ok,376,,,False,
2026-08-01T02:08:52.911Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,22,53,,,,200,ok,310,,,False,
2026-08-01T02:08:53.822Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,23,54,,,,200,ok,307,,,False,
2026-08-01T02:08:54.730Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,24,55,,,,200,ok,303,,,False,
2026-08-01T02:08:55.636Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,25,56,,,,200,ok,313,,,False,
2026-08-01T02:08:56.550Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,26,57,,,,200,ok,306,,,False,
2026-08-01T02:08:57.457Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,27,58,,,,200,ok,310,,,False,
2026-08-01T02:08:58.368Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,28,59,,,,200,ok,310,,,False,
2026-08-01T02:08:59.279Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,29,60,,,,200,ok,311,,,False,
2026-08-01T02:09:00.191Z,reload_probe,/faq,30 перезагрузок каждые 600 мс,,30,61,,,,200,ok,309,,,False,
2026-08-01T02:09:21.105Z,reload_probe,/cards,первый заход,,0,62,,,,200,ok,470,,,False,
2026-08-01T02:09:21.576Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,1,63,,,,200,ok,536,,,False,
2026-08-01T02:09:23.114Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,2,64,,,,200,ok,464,,,False,
2026-08-01T02:09:24.579Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,3,65,,,,200,ok,430,,,False,
2026-08-01T02:09:26.010Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,4,66,,,,200,ok,461,,,False,
2026-08-01T02:09:27.473Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,5,67,,,,200,ok,384,,,False,
2026-08-01T02:09:28.864Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,6,68,,,,200,ok,438,,,False,
2026-08-01T02:09:30.303Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,7,69,,,,200,ok,385,,,False,
2026-08-01T02:09:31.689Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,8,70,,,,200,ok,464,,,False,
2026-08-01T02:09:33.155Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,9,71,,,,200,ok,458,,,False,
2026-08-01T02:09:34.615Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,10,72,,,,200,ok,482,,,False,
2026-08-01T02:09:36.102Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,11,73,,,,200,ok,450,,,False,
2026-08-01T02:09:37.555Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,12,74,,,,200,ok,425,,,False,
2026-08-01T02:09:38.982Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,13,75,,,,200,ok,459,,,False,
2026-08-01T02:09:40.443Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,14,76,,,,200,ok,475,,,False,
2026-08-01T02:09:41.922Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,15,77,,,,200,ok,467,,,False,
2026-08-01T02:09:43.391Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,16,78,,,,200,ok,466,,,False,
2026-08-01T02:09:44.858Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,17,79,,,,200,ok,475,,,False,
2026-08-01T02:09:46.334Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,18,80,,,,200,ok,456,,,False,
2026-08-01T02:09:47.791Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,19,81,,,,200,ok,474,,,False,
2026-08-01T02:09:49.267Z,reload_probe,/cards,20 перезагрузок каждые 1000 мс,,20,82,,,,200,ok,463,,,False,
2026-08-01T02:10:10.732Z,reload_probe,/trades,первый заход,,0,83,,,,200,ok,565,,,False,
2026-08-01T02:10:11.298Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,1,84,,,,200,ok,273,,,False,
2026-08-01T02:10:12.572Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,2,85,,,,200,ok,298,,,False,
2026-08-01T02:10:13.871Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,3,86,,,,200,ok,313,,,False,
2026-08-01T02:10:15.186Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,4,87,,,,200,ok,349,,,False,
2026-08-01T02:10:16.537Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,5,88,,,,200,ok,334,,,False,
2026-08-01T02:10:17.874Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,6,89,,,,200,ok,292,,,False,
2026-08-01T02:10:19.167Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,7,90,,,,200,ok,284,,,False,
2026-08-01T02:10:20.452Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,8,91,,,,200,ok,326,,,False,
2026-08-01T02:10:21.779Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,9,92,,,,200,ok,323,,,False,
2026-08-01T02:10:23.104Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,10,93,,,,200,ok,321,,,False,
2026-08-01T02:10:24.427Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,11,94,,,,200,ok,321,,,False,
2026-08-01T02:10:25.754Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,12,95,,,,200,ok,319,,,False,
2026-08-01T02:10:27.075Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,13,96,,,,200,ok,313,,,False,
2026-08-01T02:10:28.390Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,14,97,,,,200,ok,324,,,False,
2026-08-01T02:10:29.716Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,15,98,,,,200,ok,396,,,False,
2026-08-01T02:10:31.113Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,16,99,,,,200,ok,332,,,False,
2026-08-01T02:10:32.447Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,17,100,,,,200,ok,318,,,False,
2026-08-01T02:10:33.766Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,18,101,,,,200,ok,325,,,False,
2026-08-01T02:10:35.092Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,19,102,,,,200,ok,314,,,False,
2026-08-01T02:10:36.407Z,reload_probe,/trades,20 перезагрузок каждые 1000 мс,,20,103,,,,200,ok,317,,,False,
2026-08-01T02:11:28.047Z,reload_hammer,/faq,без пауз,,1,1,,,,200,ok,252,,,False,
2026-08-01T02:11:28.300Z,reload_hammer,/faq,без пауз,,2,2,,,,200,ok,273,,,False,
2026-08-01T02:11:28.573Z,reload_hammer,/faq,без пауз,,3,3,,,,200,ok,278,,,False,
2026-08-01T02:11:28.852Z,reload_hammer,/faq,без пауз,,4,4,,,,200,ok,280,,,False,
2026-08-01T02:11:29.132Z,reload_hammer,/faq,без пауз,,5,5,,,,200,ok,296,,,False,
2026-08-01T02:11:29.428Z,reload_hammer,/faq,без пауз,,6,6,,,,200,ok,266,,,False,
2026-08-01T02:11:29.695Z,reload_hammer,/faq,без пауз,,7,7,,,,200,ok,256,,,False,
2026-08-01T02:11:29.951Z,reload_hammer,/faq,без пауз,,8,8,,,,200,ok,392,,,False,
2026-08-01T02:11:30.343Z,reload_hammer,/faq,без пауз,,9,9,,,,200,ok,264,,,False,
2026-08-01T02:11:30.609Z,reload_hammer,/faq,без пауз,,10,10,,,,200,ok,255,,,False,
2026-08-01T02:11:30.864Z,reload_hammer,/faq,без пауз,,11,11,,,,200,ok,350,,,False,
2026-08-01T02:11:31.214Z,reload_hammer,/faq,без пауз,,12,12,,,,200,ok,250,,,False,
2026-08-01T02:11:31.464Z,reload_hammer,/faq,без пауз,,13,13,,,,200,ok,257,,,False,
2026-08-01T02:11:31.722Z,reload_hammer,/faq,без пауз,,14,14,,,,200,ok,253,,,False,
2026-08-01T02:11:31.976Z,reload_hammer,/faq,без пауз,,15,15,,,,200,ok,255,,,False,
2026-08-01T02:11:32.231Z,reload_hammer,/faq,без пауз,,16,16,,,,200,ok,294,,,False,
2026-08-01T02:11:32.526Z,reload_hammer,/faq,без пауз,,17,17,,,,200,ok,253,,,False,
2026-08-01T02:11:32.779Z,reload_hammer,/faq,без пауз,,18,18,,,,200,ok,257,,,False,
2026-08-01T02:11:33.037Z,reload_hammer,/faq,без пауз,,19,19,,,,200,ok,286,,,False,
2026-08-01T02:11:33.326Z,reload_hammer,/faq,без пауз,,20,20,,,,200,ok,257,,,False,
2026-08-01T02:11:33.587Z,reload_hammer,/faq,без пауз,,21,21,,,,200,ok,266,,,False,
2026-08-01T02:11:33.854Z,reload_hammer,/faq,без пауз,,22,22,,,,200,ok,250,,,False,
2026-08-01T02:11:34.105Z,reload_hammer,/faq,без пауз,,23,23,,,,200,ok,258,,,False,
2026-08-01T02:11:34.364Z,reload_hammer,/faq,без пауз,,24,24,,,,200,ok,264,,,False,
2026-08-01T02:11:34.628Z,reload_hammer,/faq,без пауз,,25,25,,,,200,ok,253,,,False,
2026-08-01T02:11:34.882Z,reload_hammer,/faq,без пауз,,26,26,,,,200,ok,265,,,False,
2026-08-01T02:11:35.150Z,reload_hammer,/faq,без пауз,,27,27,,,,200,ok,264,,,False,
2026-08-01T02:11:35.414Z,reload_hammer,/faq,без пауз,,28,28,,,,200,ok,252,,,False,
2026-08-01T02:11:35.666Z,reload_hammer,/faq,без пауз,,29,29,,,,200,ok,256,,,False,
2026-08-01T02:11:35.923Z,reload_hammer,/faq,без пауз,,30,30,,,,200,ok,263,,,False,
2026-08-01T02:11:36.187Z,reload_hammer,/faq,без пауз,,31,31,,,,200,ok,256,,,False,
2026-08-01T02:11:36.443Z,reload_hammer,/faq,без пауз,,32,32,,,,200,ok,253,,,False,
2026-08-01T02:11:36.701Z,reload_hammer,/faq,без пауз,,33,33,,,,200,ok,261,,,False,
2026-08-01T02:11:36.962Z,reload_hammer,/faq,без пауз,,34,34,,,,200,ok,258,,,False,
2026-08-01T02:11:37.220Z,reload_hammer,/faq,без пауз,,35,35,,,,200,ok,264,,,False,
2026-08-01T02:11:37.485Z,reload_hammer,/faq,без пауз,,36,36,,,,200,ok,269,,,False,
2026-08-01T02:11:37.754Z,reload_hammer,/faq,без пауз,,37,37,,,,200,ok,257,,,False,
2026-08-01T02:11:38.011Z,reload_hammer,/faq,без пауз,,38,38,,,,200,ok,256,,,False,
2026-08-01T02:11:38.271Z,reload_hammer,/faq,без пауз,,39,39,,,,200,ok,258,,,False,
2026-08-01T02:11:38.529Z,reload_hammer,/faq,без пауз,,40,40,,,,200,ok,251,,,False,
2026-08-01T02:11:38.781Z,reload_hammer,/faq,без пауз,,41,41,,,,200,ok,254,,,False,
2026-08-01T02:11:39.039Z,reload_hammer,/faq,без пауз,,42,42,,,,200,ok,249,,,False,
2026-08-01T02:11:39.289Z,reload_hammer,/faq,без пауз,,43,43,,,,200,ok,252,,,False,
2026-08-01T02:11:39.541Z,reload_hammer,/faq,без пауз,,44,44,,,,200,ok,258,,,False,
2026-08-01T02:11:39.803Z,reload_hammer,/faq,без пауз,,45,45,,,,200,ok,267,,,False,
2026-08-01T02:11:40.070Z,reload_hammer,/faq,без пауз,,46,46,,,,200,ok,259,,,False,
2026-08-01T02:11:40.330Z,reload_hammer,/faq,без пауз,,47,47,,,,200,ok,256,,,False,
2026-08-01T02:11:40.586Z,reload_hammer,/faq,без пауз,,48,48,,,,200,ok,426,,,False,
