ts,lane,transport,nav,page,path,cat,robots,authUsed,headless,method,status,class,ms,ttfb,domMs,bytes,subFailed,httpErrors,consoleErrors,retryAfter,redirect,note,err
2026-07-30T21:01:39.408Z,http_user_slow,http,,trades_in,/trades,обмены,True,True,,,200,login_wall,1567,,,35791,,,,,,,
2026-07-30T21:01:48.357Z,http_user_slow,http,,trades_out,/trades/offers,обмены,True,True,,,200,login_wall,538,,,32732,,,,,,,
2026-07-30T21:01:56.844Z,http_user_slow,http,,trades_history,/trades/history,обмены,True,True,,,200,login_wall,479,,,51582,,,,,,,
2026-07-30T21:02:01.478Z,http_user_slow,http,,trade_detail,/trades/79211797,обмены,True,True,,,200,login_wall,490,,,36398,,,,,,,
2026-07-30T21:02:09.387Z,http_user_slow,http,,notifications,/notifications,уведомления,True,True,,,200,login_wall,488,,,33152,,,,,,,
2026-07-30T21:02:17.441Z,http_user_slow,http,,messages,/messages,уведомления,True,True,,,200,login_wall,454,,,33491,,,,,,,
2026-07-30T21:02:23.722Z,http_user_slow,http,,card_want,/cards/2530/offers/want,заявки,False,True,,,200,login_wall,504,,,74501,,,,,,,
2026-07-30T21:02:30.118Z,http_user_slow,http,,card_users,/cards/2530/users,заявки,False,True,,,200,login_wall,649,,,131439,,,,,,,
2026-07-30T21:02:37.126Z,http_user_slow,http,,my_cards,/users/1340879/cards,мои карты,False,True,,,200,login_wall,479,,,68600,,,,,,,
2026-07-30T21:02:43.919Z,http_user_slow,http,,my_profile,/users/1340879,мои карты,False,True,,,200,ok,560,,,609902,,,,,,,
2026-07-30T21:02:48.852Z,http_user_slow,http,,my_friends,/users/1340879/friends,мои карты,False,True,,,200,login_wall,463,,,35754,,,,,,,
2026-07-30T21:02:54.514Z,http_user_slow,http,,settings,/settings,аккаунт,True,True,,,200,login_wall,459,,,49116,,,,,,,
2026-07-30T21:03:00.635Z,http_user_slow,http,,balance,/balance,аккаунт,True,True,,,200,login_wall,463,,,77906,,,,,,,
2026-07-30T21:03:08.662Z,http_user_slow,http,,cards_catalog,/cards,каталог карт,False,True,,,200,login_wall,543,,,96778,,,,,,,
2026-07-30T21:03:14.728Z,http_user_slow,http,,cards_remelt,/cards/remelt,каталог карт,False,True,,,200,login_wall,460,,,40356,,,,,,,
2026-07-30T21:03:19.616Z,http_user_slow,http,,cards_upgrade,/cards/upgrade,каталог карт,False,True,,,200,login_wall,462,,,39940,,,,,,,
2026-07-30T21:03:26.737Z,http_user_slow,http,,cards_frame,/cards/frame,каталог карт,False,True,,,200,login_wall,464,,,60355,,,,,,,
2026-07-30T21:03:32.477Z,http_user_slow,http,,market,/market,каталог карт,False,True,,,200,login_wall,458,,,65809,,,,,,,
