ts,lane,transport,nav,page,path,cat,robots,authUsed,headless,method,status,class,ms,ttfb,domMs,bytes,subFailed,httpErrors,consoleErrors,retryAfter,redirect,note,err
2026-07-30T20:02:46.712Z,errors,http,,long_query,/cards?q=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,пробы ошибок,True,True,,GET,200,login_wall,577,,,135740,,,,,,длинная строка запроса,
2026-07-30T20:02:50.292Z,errors,http,,trades_ajax,/trades,пробы ошибок,True,True,,GET,200,login_wall,475,,,35813,,,,,,тот же путь с XHR-заголовками,
2026-07-30T20:02:53.770Z,errors,http,,trades_json,/trades,пробы ошибок,True,True,,GET,200,login_wall,482,,,35813,,,,,,запрос JSON вместо HTML,
2026-07-30T20:02:57.253Z,errors,http,,post_nocsrf,/__baryga_probe_404__,пробы ошибок,True,True,,POST,404,not_found,330,,,1517,,,,,,POST без CSRF на несуществующий путь,
2026-07-30T20:03:00.585Z,errors,http,,head_trades,/trades,пробы ошибок,True,True,,HEAD,200,ok,311,,,0,,,,,,HEAD вместо GET,
2026-07-30T20:04:03.973Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,6554,,,33105,,,,,,,
2026-07-30T20:04:12.530Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,461,,,33105,,,,,,,
2026-07-30T20:04:14.992Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,461,,,33105,,,,,,,
2026-07-30T20:04:17.455Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,461,,,33105,,,,,,,
2026-07-30T20:04:19.917Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,450,,,33105,,,,,,,
2026-07-30T20:04:22.370Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,460,,,33105,,,,,,,
2026-07-30T20:04:24.832Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,444,,,33105,,,,,,,
2026-07-30T20:04:31.279Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,450,,,33105,,,,,,,
2026-07-30T20:04:32.730Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,454,,,33105,,,,,,,
2026-07-30T20:04:34.187Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,452,,,33105,,,,,,,
2026-07-30T20:04:35.641Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,447,,,33105,,,,,,,
2026-07-30T20:04:37.090Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,444,,,33105,,,,,,,
2026-07-30T20:04:38.535Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,447,,,33105,,,,,,,
2026-07-30T20:04:39.985Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,445,,,33105,,,,,,,
2026-07-30T20:04:45.433Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,438,,,33105,,,,,,,
2026-07-30T20:04:46.372Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,440,,,33105,,,,,,,
2026-07-30T20:04:47.314Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,440,,,33105,,,,,,,
2026-07-30T20:04:48.255Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,441,,,33105,,,,,,,
2026-07-30T20:04:49.197Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,449,,,33105,,,,,,,
2026-07-30T20:04:50.148Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,451,,,33105,,,,,,,
2026-07-30T20:04:51.101Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,467,,,33105,,,,,,,
2026-07-30T20:04:56.070Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,448,,,33105,,,,,,,
2026-07-30T20:04:56.771Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,454,,,33105,,,,,,,
2026-07-30T20:04:57.477Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,449,,,33105,,,,,,,
2026-07-30T20:04:58.178Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,457,,,33105,,,,,,,
2026-07-30T20:04:58.887Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,450,,,33105,,,,,,,
2026-07-30T20:04:59.589Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,455,,,33105,,,,,,,
2026-07-30T20:05:00.297Z,ratelimit,http,,probe,/faq,probe,,,,GET,200,login_wall,457,,,33105,,,,,,,
